;;;;;
;; RESULTADO DE JULGAMENTO - PROPOSTAS  APROVADAS PARA CONTRATAÇÃO;;;
;;Edital 21/2008 - Programa Primeiros Projetos;;;
;;;;;
ATENÇÃO : Todas as instituições que tiverem propostas aprovadas deverão atualizar seu credenciamento na FAPEMIG até 10 dias corridos da publicação dos resultados, sob pena de desclassificação das propostas.  A situação cadastral das instituições poderá ser verificada no endereço : http://www.fapemig.br/cadastro/;;;;;
;;;;;
;;;;;
;;;;;
#;PROC.;COORDENADOR;TÍTULO;INSTITUIÇÃO; VALOR 
38; APQ-00291-09; André Luiz Dos Santos; Desenvolvimento E Aplicação De Eletrodos Compósitos Para A Determinação De Íons Metálicos Em Biocombustíveis; UFU;18.900,00
39; APQ-00292-09; André Rinaldo Senna Garraffoni; Sistemática De Gastrotricha (Bilateria) Da Cadeia Do Espinhaço Meridional (Mg), Com Especial Ênfase À Bacia Hidrográfica Do Jequitinhonha, Como Base Para O Estudo De Padrões De Áreas De Endemismo (Pae); UFVJM;19.077,45
40; APQ-00304-09; Rozana Castorina Da Silva; Dosagem De Marcadores Inflamatórios Em Pacientes Portadores De Leishmaniose Tegumentar Americana ; FHEMIG;22.890,00
41; APQ-00318-09; André Fabiano Voigt; A Imaginação Em Bachelard: Entre O Olho E A Mão; UFU;9.660,00
42; APQ-00332-09; Noel Torres Júnior; A Medição E Melhoria Da Produtividade Em Empresas De Serviços Que Buscam Resultados Ulteriores; UFMG;14.188,65
43; APQ-00347-09; Suzan Kelly Vilela Bertolucci; Efeito Do Tipo De Secagem, Processamento E Armazenamento No Teor E Composição Química Do Óleo Essencial De Ocimum Basilicum L. Cv.Maria Bonita; UFLA;28.487,85
44; APQ-00351-09; Ana Paula Coelho Balbi; Influências Do Diabetes Materno Sobre O Desenvolvimento Renal Pós-Natal E Expressão De Mapk No Córtex Renal De Ratas Wistar; UFU;20.612,55
45; APQ-00357-09; José Felipe Dias; Ensaio De Iniciação De Trinca Por Flexão Alternada: Detecção Pela Perda De Estanqueidade; FUI;28.449,00
46; APQ-00363-09; Jerônimo Coura Sobrinho; Podcasts Em Situações De Aprendizagem Presencial E Não-Presencial: Possibilidades, Limitações, Efeitos Da Midiatização De Conteúdos E Desenvolvimento De Habilidades Pelos Usuários; CEFET BH;14.130,80
47; APQ-00365-09; Leandro Licursi De Oliveira; Lectinas De Babesia Bovis – Papel No Processo De Invasão Da Célula Hospedeira Pelo Parasita; UFV;29.820,00
48; APQ-00372-09; Anizio Marcio De Faria; Desenvolvimento, Caracterização E Aplicação De Fases Estacionárias Baseadas Em Um Polímero Tri-Funcionalizado Para Clae-Fr; UFU;29.190,00
